entry_time,exit_time,direction,entry_price,exit_price,pnl,size
2025-01-03 14:00:00+00:00,2025-01-03 17:00:00+00:00,SHORT,96876.151875,98083.16486718749,-6.735900073418756,0.005161228953903471
2025-01-04 07:00:00+00:00,2025-01-05 03:00:00+00:00,LONG,98308.07705468748,98036.1703828125,-1.8801870934175813,0.00508237186572561
2025-01-05 04:00:00+00:00,2025-01-06 00:00:00+00:00,SHORT,98234.4250546875,98316.4056875,-0.9168052325799493,0.005084971113266292
2025-01-06 01:00:00+00:00,2025-01-06 05:00:00+00:00,SHORT,98552.06803125,99708.9609140625,-6.368286223655804,0.005067863186297847
2025-01-06 06:00:00+00:00,2025-01-06 14:00:00+00:00,SHORT,99438.0327421875,101022.47624218749,-8.459786371874463,0.00501925668694655
2025-01-06 15:00:00+00:00,2025-01-07 11:00:00+00:00,SHORT,102072.0523359375,100998.71813281249,4.750193115753658,0.00488534378213276
2025-01-07 12:00:00+00:00,2025-01-07 15:00:00+00:00,LONG,100848.36480468749,97862.430234375,-15.254711484532345,0.004946730112853464
2025-01-07 16:00:00+00:00,2025-01-07 18:00:00+00:00,LONG,97898.64459375,96604.5877734375,-7.075311085359939,0.005087730948900187
2025-01-07 20:00:00+00:00,2025-01-08 16:00:00+00:00,SHORT,96343.6926796875,94836.70289843749,7.295062288008268,0.005165914658858292
2025-01-08 17:00:00+00:00,2025-01-08 22:00:00+00:00,SHORT,93834.025171875,95328.67093749999,-8.439112516331985,0.005307703270108683
2025-01-08 23:00:00+00:00,2025-01-09 08:00:00+00:00,SHORT,94943.2741875,93038.65664843749,9.494458294769068,0.005240985301240059
2025-01-09 13:00:00+00:00,2025-01-09 15:00:00+00:00,SHORT,92011.3106484375,94345.00074999999,-13.142661704783329,0.005412879612929031
2025-01-09 16:00:00+00:00,2025-01-09 19:00:00+00:00,SHORT,94098.5494453125,92160.44337499999,9.756867808031705,0.005285566197428411
2025-01-09 20:00:00+00:00,2025-01-10 01:00:00+00:00,SHORT,92024.1727734375,93176.73208593749,-6.73911134438976,0.005409742596498283
2025-01-10 02:00:00+00:00,2025-01-10 06:00:00+00:00,SHORT,93284.668828125,94374.06103124999,-6.312747599569136,0.005332765251650986
2025-01-10 07:00:00+00:00,2025-01-10 17:00:00+00:00,SHORT,94432.769578125,95838.04699218749,-7.9023586971324455,0.005264324365548966
2025-01-10 18:00:00+00:00,2025-01-11 04:00:00+00:00,LONG,95036.68392968748,93935.111484375,-6.248263978633916,0.0052264529346639785
2025-01-11 07:00:00+00:00,2025-01-12 03:00:00+00:00,LONG,94283.37668749999,94471.4886328125,0.4929827684061186,0.005264634388663586
2025-01-12 04:00:00+00:00,2025-01-13 00:00:00+00:00,LONG,94595.66522656249,95253.6900234375,2.9530020801147785,0.005247252469365964
2025-01-13 02:00:00+00:00,2025-01-13 08:00:00+00:00,LONG,94262.14453906249,92882.290359375,-7.757081949445855,0.005267121516450936
2025-01-13 09:00:00+00:00,2025-01-13 10:00:00+00:00,LONG,92939.71405468749,91535.2247109375,-7.985220549347219,0.005337626612350518
2025-01-13 11:00:00+00:00,2025-01-13 20:00:00+00:00,LONG,91021.383578125,93563.1322734375,13.33149985799205,0.005445461348707133
