,entry_time,entry_price,position,size,stop_loss,take_profit,market_regime,volatility_pct,session,entry_type,exit_time,exit_price,pnl,return_pct,direction,volatility_state
0,2025-10-27 23:30:00+00:00,114128.9535,-1,0.16141407957368234,114438.71582142857,113509.42885714286,Neutral,,Asia,Mean Reversion,2025-10-28 01:30:00+00:00,114438.71582142857,-49.99999999999984,-0.27141431856603365,Short,Normal
1,2025-10-28 01:45:00+00:00,114419.6355,-1,0.16984418350731148,114712.55103571429,113833.80442857143,Neutral,,Asia,Mean Reversion,2025-10-28 02:45:00+00:00,113833.80442857143,99.5,0.512002217861091,Short,Normal
2,2025-10-28 03:15:00+00:00,113962.8785,-1,0.15300568671432294,114291.28132658133,113306.07284683736,Neutral,,Asia,Mean Reversion,2025-10-28 07:00:00+00:00,114291.28132658133,-50.24750000000032,-0.288166489741065,Short,Normal
3,2025-10-28 07:15:00+00:00,114259.6345,-1,0.1959294972596139,114514.80926030551,113749.28497938899,Neutral,0.5060264720299916,Asia,Mean Reversion,2025-10-28 08:45:00+00:00,114514.80926030551,-49.99626250000142,-0.22332887849865465,Short,Low
4,2025-10-28 09:00:00+00:00,114384.87,-1,0.19083815428889128,114645.54261744836,113863.52476510327,Chaos,0.47862385064007157,London,Mean Reversion,2025-10-28 10:15:00+00:00,114645.54261744836,-49.746281187499804,-0.22789081934381955,Short,Low
5,2025-10-28 11:45:00+00:00,114352.158,1,0.22894443525709884,114135.95903571429,114784.55592857143,Chaos,0.4495420638870156,London,Mean Reversion,2025-10-28 12:15:00+00:00,114135.95903571429,-49.497549781561084,-0.18906417514718693,Long,Low
6,2025-10-28 15:45:00+00:00,114655.085,1,0.09544537908282334,114139.08241814723,115687.09016370558,Neutral,0.5643502402018297,NY,Mean Reversion,2025-10-28 19:15:00+00:00,114139.08241814723,-49.2500620326541,-0.4500477077425561,Long,Low
7,2025-10-28 19:30:00+00:00,114008.68,1,0.10767049226202187,113553.55240939478,114918.93518121043,Neutral,0.6687054893407697,NY,Mean Reversion,2025-10-28 19:45:00+00:00,113553.55240939478,-49.00381172249177,-0.3992043330430788,Long,Low
8,2025-10-28 22:45:00+00:00,113243.25,-1,0.07021118538045458,113937.70904380718,111854.33191238565,Neutral,0.8507597740767264,Asia,Mean Reversion,2025-10-29 15:30:00+00:00,111854.33191238565,97.51758532775766,1.2264908395108327,Short,Normal
9,2025-10-29 17:45:00+00:00,111851.705,-1,0.10862449356976916,112305.0685,110944.978,Trend_Down,0.5770823328722833,NY,Pullback,2025-10-29 18:00:00+00:00,112305.0685,-49.2463805905172,-0.40532551560120805,Short,Low
