timestamp,open,high,low,close,volume,trade_count,vwap
2025-04-10 16:00:00+00:00,78731.105,79615.756,78470.475,79382.85,0.116453457,16.0,79152.675167
2025-04-10 17:00:00+00:00,79329.7,79617.1,78540.57,79274.567,0.121909263,12.0,78936.286677
2025-04-10 18:00:00+00:00,79216.9055,79733.6485,79198.6575,79453.865,0.167776339,5.0,79539.433852
2025-04-10 19:00:00+00:00,79405.483,79942.225,79299.04,79589.333,0.285815636,50.0,79613.659166
2025-04-10 20:00:00+00:00,79617.36,79893.785,79557.195,79856.47,0.01612233,3.0,79868.477011
2025-04-10 21:00:00+00:00,79887.3595,79974.1,79644.426,79704.4985,0.000895087,3.0,79803.126529
2025-04-10 22:00:00+00:00,79655.7705,79869.1325,79524.843,79678.246,0.000776599,4.0,79785.982383
2025-04-10 23:00:00+00:00,79624.745,79683.2555,79372.645,79561.4545,0.0,0.0,79624.745
2025-04-11 00:00:00+00:00,79517.705,79676.53,78919.0,78972.65,0.002875061,5.0,79407.843355
2025-04-11 01:00:00+00:00,79012.215,80353.05,79012.215,80353.05,0.002880424,7.0,79867.315754
2025-04-11 02:00:00+00:00,80371.6,80775.91,80120.7495,80258.175,0.008184771,5.0,80325.873744
2025-04-11 03:00:00+00:00,80290.0615,80854.297,80290.0615,80759.965,0.001190613,5.0,80572.243537
2025-04-11 04:00:00+00:00,80808.9905,80978.92,80680.979,80817.725,0.000261719,7.0,80862.554843
2025-04-11 05:00:00+00:00,80891.7645,80945.429,80466.927,80788.965,6.0558e-05,1.0,80945.429
2025-04-11 06:00:00+00:00,80810.3225,81269.48,80810.3225,81050.823,0.014901855,6.0,81106.097065
2025-04-11 07:00:00+00:00,81063.746,81386.112,80804.11,81234.03,0.003218568,1.0,81009.7
2025-04-11 08:00:00+00:00,81281.2645,81839.775,80767.753,81563.9,0.02032746,8.0,81563.058077
2025-04-11 09:00:00+00:00,81634.9,82385.78680203,81423.035,82355.058401015,0.599619361,12.0,81565.312918
2025-04-11 10:00:00+00:00,82385.78680203,82935.289,82285.225,82645.38,0.011569962,8.0,82396.623672
2025-04-11 11:00:00+00:00,82665.0,82842.9765,81935.105,82106.9595,0.018386749,10.0,82211.435121
2025-04-11 12:00:00+00:00,82121.2345,82505.25,81794.45,82042.08,0.001874321,4.0,82112.860334
2025-04-11 13:00:00+00:00,82097.4715,83221.68,81806.751,82871.035,0.035678955,11.0,82433.082583
2025-04-11 14:00:00+00:00,82834.6565,82834.6565,81356.745,81879.0005,0.112809387,14.0,82526.224764
2025-04-11 15:00:00+00:00,81901.215,82635.8765,81681.905,82451.685,0.007749036,6.0,82386.830487
2025-04-11 16:00:00+00:00,82494.155,83041.946,82027.755,82758.25,0.051138612,15.0,82848.996628
2025-04-11 17:00:00+00:00,82790.535,84029.159,82672.47,83893.805,0.044471249,12.0,82964.968203
2025-04-11 18:00:00+00:00,83953.015,84188.7475,83515.59,83563.15,0.003321781,12.0,83817.378752
2025-04-11 19:00:00+00:00,83617.337,83949.51,83548.596,83823.2655,0.170618451,81.0,83893.944983
2025-04-11 20:00:00+00:00,83885.5,84028.339,83656.72,83838.025,0.040330984,11.0,83972.037345
2025-04-11 21:00:00+00:00,83875.3,84244.5060625,83604.1025,83658.6,0.013103148,1.0,83619.313
2025-04-11 22:00:00+00:00,83616.3,83664.6035,83313.13,83422.47,0.006077787,1.0,83376.4
2025-04-11 23:00:00+00:00,83356.72,83517.705,83123.8465,83374.87,0.001532292,2.0,83274.350762
2025-04-12 00:00:00+00:00,83422.9,83536.5,83231.8175,83334.75,0.000443615,1.0,83476.2
2025-04-12 01:00:00+00:00,83364.931,83409.133,83142.545,83175.666,0.001588688,1.0,83288.525
2025-04-12 02:00:00+00:00,83200.95,83258.5115,82825.5095,82825.5095,0.000861441,1.0,83114.5
2025-04-12 03:00:00+00:00,82857.2765,83109.47,82832.055,82951.26,0.029048623,1.0,83109.47
2025-04-12 04:00:00+00:00,82962.4065,83422.0415,82847.175,83140.92,0.018426385,2.0,83056.557032
2025-04-12 05:00:00+00:00,83197.832,83447.6055,83197.832,83305.7905,0.0,0.0,83204.6395
2025-04-12 06:00:00+00:00,83352.1595,83714.0795,83352.1595,83573.02,0.0,0.0,83352.1595
2025-04-12 07:00:00+00:00,83526.138,83824.56,83417.3,83696.95,0.042028398,6.0,83785.954175
2025-04-12 08:00:00+00:00,83758.3,84003.81,83480.2185,83593.0705,0.008470961,4.0,83711.669017
2025-04-12 09:00:00+00:00,83640.52,83737.969,83412.4995,83512.186,0.011529607,2.0,83737.47365
2025-04-12 10:00:00+00:00,83471.2835,83542.63,83337.711,83378.61,0.006362156,2.0,83482.286059
2025-04-12 11:00:00+00:00,83407.1,83623.4715,83395.61,83492.2185,0.005778946,1.0,83552.1
2025-04-12 12:00:00+00:00,83546.8955,83892.1445,83451.9165,83791.355,0.007415376,4.0,83623.040533
2025-04-12 13:00:00+00:00,83851.11,84652.421,83547.6985,84430.42,0.002343729,10.0,84319.850661
2025-04-12 14:00:00+00:00,84405.92,85231.915908629,84307.7,84812.09,0.38897949,20.0,84990.392377
2025-04-12 15:00:00+00:00,84854.7,85388.31,84615.74,84964.01,0.002573128,11.0,85098.928283
2025-04-12 16:00:00+00:00,85014.95,85178.7,84618.93,84646.115,0.002568102,14.0,85067.097772
2025-04-12 17:00:00+00:00,84700.2285,84825.356,84410.205,84725.135,0.031209368,3.0,84644.402794
2025-04-12 18:00:00+00:00,84771.105,85115.708,84771.105,85115.708,0.138756121,3.0,84959.431293
2025-04-12 19:00:00+00:00,85135.76,85245.21,84792.772,84915.37,0.6203326,165.0,84841.300743
2025-04-12 20:00:00+00:00,84970.2335,85915.4815,84877.216,85492.0,0.008458161,8.0,85607.919348
2025-04-12 21:00:00+00:00,85543.4,85574.862,85271.5,85373.2595,0.001672135,4.0,85358.007335
2025-04-12 22:00:00+00:00,85426.14,85673.067,85323.405,85323.405,0.012734184,4.0,85485.219057
2025-04-12 23:00:00+00:00,85361.999,85390.2755,85175.4455,85279.065,0.0,0.0,85361.999
2025-04-13 00:00:00+00:00,85310.7,85540.357,85015.2275,85445.865,0.0,0.0,85322.73325
2025-04-13 01:00:00+00:00,85517.6,86090.681,85140.643,85262.213,0.02622986,5.0,85365.842777
2025-04-13 02:00:00+00:00,85223.37,85382.8215,84743.514,85305.5615,0.011881921,3.0,84959.799172
2025-04-13 03:00:00+00:00,85252.7005,85636.0200253805,85230.925,85434.055,0.011475,2.0,85307.105089
2025-04-13 04:00:00+00:00,85407.335,85407.335,84476.8,84602.3525,0.003,2.0,84889.745
2025-04-13 05:00:00+00:00,84638.529,84768.635,84410.32,84506.25,0.001428523,2.0,84696.370918
2025-04-13 06:00:00+00:00,84533.69,84857.8,84446.29,84604.7855,0.001138005,1.0,84857.8
2025-04-13 07:00:00+00:00,84648.65,84756.986,84450.625,84450.625,0.16,1.0,84688.99
2025-04-13 08:00:00+00:00,84407.27,84659.646,84298.315,84659.646,0.005695405,4.0,84408.814776
2025-04-13 09:00:00+00:00,84610.5335,84918.725,84533.909,84884.0225,0.002016533,2.0,84770.376432
2025-04-13 10:00:00+00:00,84924.0785,84924.0785,84498.687,84662.2,0.001126948,3.0,84833.376189
2025-04-13 11:00:00+00:00,84707.121,84744.105,84211.4475,84491.5195,0.0,0.0,84707.121
2025-04-13 12:00:00+00:00,84526.4195,84649.4,84237.65,84453.607,0.05360807,3.0,84344.453016
2025-04-13 13:00:00+00:00,84476.9565,84550.3965,83447.6755,83545.103,0.033869538,8.0,83772.888172
2025-04-13 14:00:00+00:00,83506.655,84100.489,83446.91,84061.415,0.526224198,7.0,84050.160844
2025-04-13 15:00:00+00:00,84021.09,84021.09,83659.285,83773.242,0.0,0.0,84021.09
2025-04-13 16:00:00+00:00,83835.749,84385.1105,83835.749,84250.76,0.042012781,9.0,84155.867581
2025-04-13 17:00:00+00:00,84188.935,84996.91,84188.935,84734.979,0.001935705,3.0,84813.793704
2025-04-13 18:00:00+00:00,84783.9145,84925.06,84518.41,84679.605,0.006719971,2.0,84608.777647
2025-04-13 19:00:00+00:00,84623.16,84750.043,83045.502,83967.4715,0.027219157,35.0,84004.695668
2025-04-13 20:00:00+00:00,83911.01,84422.02,83183.5105,83469.765,0.003305763,4.0,83594.309535
2025-04-13 21:00:00+00:00,83413.0075,83802.21,83021.692,83583.2,0.006246865,10.0,83422.563708
2025-04-13 22:00:00+00:00,83634.515,83828.509,83139.65,83296.515,0.00154,2.0,83323.325325
2025-04-13 23:00:00+00:00,83269.5575,83769.085,83137.989,83690.7965,0.004622735,1.0,83559.72
2025-04-14 00:00:00+00:00,83739.8,85110.583,83663.0285,84306.9395,0.006953701,8.0,84503.805149
2025-04-14 01:00:00+00:00,84319.5925,84644.5785,84102.315,84179.1,0.000589447,5.0,84325.052362
2025-04-14 02:00:00+00:00,84227.88,85477.11,84015.063,85076.6,0.007131929,12.0,84805.270983
2025-04-14 03:00:00+00:00,85033.574,85033.574,84461.8,84536.2535,0.00155,2.0,84936.005484
2025-04-14 04:00:00+00:00,84562.1605,85078.849,84433.87,84858.325,0.003261898,5.0,84883.120641
2025-04-14 05:00:00+00:00,84913.95,84957.97,84318.8765,84526.7945,0.001614882,4.0,84456.09757
2025-04-14 06:00:00+00:00,84493.89,84640.56,84273.65,84588.795,0.0,0.0,84510.06125
2025-04-14 07:00:00+00:00,84632.52,84791.8,84228.532,84545.851,0.020269488,6.0,84533.810347
2025-04-14 08:00:00+00:00,84599.94,84908.93,84433.765,84742.9935,0.000869444,2.0,84725.69404
2025-04-14 09:00:00+00:00,84782.3385,84891.587,84254.0,84444.565,8.2698e-05,3.0,84387.942857
2025-04-14 10:00:00+00:00,84414.1,84827.9,84327.75,84611.847,0.014905798,3.0,84750.450297
